,K0,K1,K2,K3,K4,K5,K6,K7,K8,K9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39,U40,U41,U42,U43,U44,U45,U46,U47,U48,U49,U50,U51,U52,U53,U54,U55,U56,U57,U58,U59,U60,U61,U62,U63,U64,U65,U66,U67,U68,U69,U70,U71,U72,U73,U74,U75,U76,U77,U78,U79,U80,U81,U82,U83,U84,U85,U86,U87,U88,U89,U90,U91,U92,U93,U94,U95,U96,U97,U98,U99
Sample30,359.71,28.647,7.041,5.872,1297.552,3053.712,321.52,881.61,147.709,3176.58,1103.264,3.9,2029.661,3.811,679.019,13.126,1930.265,146.059,40.357,56.595,4.449,10.216,728.894,462.517,203.299,49.082,5552.045,3342.923,428.035,374.343,558.454,74.171,14.67,666.133,135.549,34.955,145.875,2252.919,3632.021,42.5,249.452,59.126,303.777,28.056,58.572,2572.676,13.341,375.478,6.993,1696.645,493.895,21.994,1316.406,7.092,33.844,14.436,125.125,799.704,28.224,3.874,56.452,20.171,8.56,306.863,47.506,459.204,13.308,4075.324,70.876,9.844,260.597,3874.811,96.153,2248.365,174.381,102.353,376.434,5345.128,3633.701,127.497,1127.541,106.468,126.38,1178.684,100.396,572.466,498.039,3626.648,9.381,819.405,2370.315,3065.797,5.095,1061.07,5522.675,3395.783,5.97,4614.35,2696.898,1413.434
Sample31,334.888,25.944,6.925,6.466,1156.379,2178.299,299.201,842.523,127.493,3348.156,1172.04,3.281,1798.391,3.097,836.55,15.919,2536.603,156.702,45.561,60.46,4.8,11.581,658.828,405.385,283.769,46.425,5898.716,3104.333,456.722,346.9,520.909,70.376,12.773,654.793,163.248,37.02,154.427,2349.245,4030.771,45.984,234.833,38.807,343.473,38.089,66.006,2855.457,18.556,407.983,7.423,1659.487,706.124,21.182,1200.971,8.073,38.883,12.57,134.766,877.919,25.005,3.87,68.846,13.141,7.637,323.611,47.397,538.808,14.67,3450.269,67.465,8.811,363.291,3418.058,82.369,2498.702,167.51,114.475,371.477,6308.458,4419.951,112.659,1119.698,102.274,140.548,1224.908,92.973,600.305,646.347,3104.853,10.365,734.002,2147.706,3581.42,5.107,1333.163,5221.268,3724.402,9.356,4238.523,2540.275,1288.576
Sample32,354.725,20.71,5.569,6.797,1200.13,2921.125,313.301,893.661,149.038,3289.167,1419.475,3.57,1658.076,3.883,745.006,18.921,2016.584,142.015,39.726,70.314,5.53,9.429,614.392,420.732,297.434,56.547,5161.736,3749.172,377.359,317.875,438.66,65.406,14.633,723.034,154.421,37.582,157.855,2127.144,3846.355,51.102,271.399,39.309,348.542,31.793,65.969,2889.02,10.779,408.325,7.255,1617.291,715.364,20.562,1459.455,7.753,35.027,14.453,124.526,841.539,25.757,4.373,66.687,17.421,6.345,320.139,45.608,361.73,15.142,3743.713,77.149,9.825,289.051,3382.84,79.813,2086.194,195.926,93.895,346.567,6009.99,3888.72,134.935,1152.719,131.822,124.051,1269.064,104.385,601.439,470.889,3309.277,10.855,721.246,2565.635,3630.796,5.104,1317.533,4674.547,3125.619,10.815,4337.667,2749.402,1507.118
Sample33,382.642,29.003,7.765,6.756,1051.294,2565.692,284.248,965.826,104.701,3535.548,1079.943,3.477,1967.528,4.249,887.374,13.61,2255.006,106.125,46.528,64.316,5.459,10.755,639.895,381.592,238.567,52.732,5472.092,3296.402,412.114,271.658,429.414,62.033,13.078,632.019,141.79,30.258,153.289,2429.427,3685.183,41.913,191.091,41.321,355.545,42.218,62.374,2321.219,13.613,386.52,7.209,1494.982,595.108,19.531,1335.779,7.101,36.201,14.851,135.724,889.457,32.009,4.134,77.521,16.11,8.609,305.899,41.983,330.425,17.392,3881.372,68.565,9.182,343.064,3658.977,85.91,3081.131,162.689,82.324,312.189,5289.577,4265.769,110.323,1059.336,119.459,130.765,1184.599,93.746,595.023,586.56,3388.213,12.629,784.256,2559.438,3654.124,4.578,1163.556,5765.821,3377.463,9.195,4691.702,2499.913,1280.275
Sample34,366.248,25.983,7.474,5.809,1220.551,2375.785,304.135,807.322,119.562,3813.531,1433.34,3.629,1983.931,4.13,824.598,15.352,2145.265,150.713,40.062,52.493,5.041,8.525,625.545,406.051,309.173,51.11,6081.367,3447.503,388.142,407.001,594.601,62.887,13.595,656.809,152.162,31.23,170.434,2106.801,3655.492,52.415,247.731,39.359,340.585,36.86,67.207,2442.764,11.512,471.557,7.06,1747.653,498.191,22.299,1507.719,7.747,39.419,15.978,130.824,847.82,28.933,4.366,67.869,16.263,7.487,307.075,41.776,415.494,15.374,3635.762,70.814,9.235,311.882,3602.044,89.679,2703.121,193.647,94.191,333.73,5884.385,4247.927,109.535,1101.976,109.633,122.178,1345.296,81.058,574.378,467.719,3718.347,11.492,771.346,1933.634,3431.853,5.029,1127.234,5054.434,3341.471,8.2,4462.696,2819.133,1539.135
Sample35,407.597,26.445,6.851,5.614,1082.384,2395.41,345.573,991.922,149.764,3006.377,1473.77,3.056,1783.125,3.451,799.431,16.671,1897.703,134.637,42.287,55.42,5.14,10.277,614.492,371.15,276.038,62.497,5528.256,3573.623,428.369,368.251,367.057,65.807,13.595,558.802,134.865,28.354,160.835,2399.871,4066.79,46.403,211.092,43.134,342.941,38.614,65.603,2865.825,13.88,374.432,7.001,1681.964,676.936,22.133,1364.384,7.586,38.834,15.993,123.198,607.683,22.623,4.093,80.568,17.049,7.35,310.41,40.008,445.3,18.15,3521.032,71.533,9.144,280.471,3420.465,80.907,2661.404,198.405,95.486,387.354,5407.624,3862.726,124.353,1155.77,96.728,108.435,1085.881,94.987,620.619,561.959,3602.907,10.607,698.937,1576.085,3588.612,5.832,1254.036,5867.69,3310.972,9.018,4832.163,2912.121,1324.9
Sample36,390.591,23.572,7.67,6.1,1115.212,2710.468,306.807,1030.326,106.111,3215.076,1413.55,2.38,1817.194,3.576,842.338,17.673,2486.995,116.218,46.305,63.276,5.204,9.938,627.021,394.7,283.746,52.824,5562.906,3245.828,440.881,327.012,492.909,62.986,14.725,674.063,157.174,38.247,174.673,2289.007,3624.538,45.71,241.506,37.772,325.101,31.327,60.339,2594.783,14.681,425.814,6.998,1750.813,681.865,18.472,1291.132,9.095,37.174,13.22,129.399,879.3,27.64,4.088,67.131,16.231,8.193,336.662,41.174,364.774,14.825,3711.163,73.075,7.001,307.424,3736.621,69.335,2650.701,179.302,97.821,333.494,4980.765,3913.073,135.933,1026.427,123.522,132.046,1240.468,93.254,641.375,686.498,3381.576,10.228,736.196,2106.622,3846.536,4.33,1099.945,5016.153,3279.297,8.957,4487.111,2648.443,1387.301
Sample37,374.649,30.107,6.785,6.251,1008.819,2553.409,283.256,888.365,100.437,3176.419,1195.876,3.318,1931.331,3.525,828.513,15.302,2126.214,138.345,43.949,80.77,4.367,10.949,564.721,462.599,248.567,54.319,4970.007,3394.467,418.984,325.269,534.699,69.926,12.491,802.654,139.342,44.401,166.657,2396.57,3744.386,42.839,195.851,41.498,320.351,36.549,60.686,2493.843,14.944,430.992,6.869,1739.849,610.993,20.128,1186.142,8.118,36.39,16.186,138.92,947.948,27.249,4.133,67.647,16.925,9.751,327.766,42.963,461.64,14.52,3691.63,63.444,9.9,273.222,3580.268,80.633,2335.628,174.021,116.07,349.314,6159.008,3846.835,123.6,1056.906,107.059,124.664,1151.223,89.215,518.675,612.536,3816.202,11.085,748.016,1876.722,3526.309,5.222,1402.652,4727.993,3186.961,9.174,5120.555,2926.892,1330.725
Sample38,362.82,26.41,7.411,7.125,1103.777,2968.612,307.722,921.692,144.005,3896.093,1255.287,2.989,2087.327,3.896,719.778,13.478,2082.868,131.333,49.156,53.597,4.561,11.358,582.013,433.934,225.724,61.759,5212.565,3621.477,431.093,374.042,587.62,69.187,13.563,668.26,166.964,36.534,131.103,2224.867,3908.509,46.106,234.729,43.03,321.311,41.536,58.189,2419.825,15.782,406.617,7.996,1774.343,572.948,26.318,1264.409,7.414,37.792,14.089,137.916,862.167,28.973,3.334,70.867,18.194,7.736,312.885,43.408,406.772,13.603,3924.475,73.167,8.62,232.495,3764.296,88.655,2968.8,163.497,105.928,387.117,5848.427,4147.384,152.095,928.721,109.565,92.038,1364.873,99.273,571.045,561.017,3759.832,9.386,801.654,2303.717,3865.957,4.727,1135.515,5151.791,3486.955,6.806,4023.528,2586.157,1350.617
Sample39,351.212,22.889,6.175,5.951,1103.989,2850.603,276.464,882.035,117.041,3487.502,1367.934,3.961,1974.335,3.807,730.677,15.039,1863.61,147.456,34.752,53.894,5.239,10.451,691.051,340.786,255.927,46.692,5941.464,2905.014,432.837,371.215,472.655,67.255,12.678,641.022,137.992,29.481,151.848,2242.362,3756.787,45.869,243.105,48.54,314.479,32.473,61.995,2668.781,11.282,373.634,6.875,1632.412,467.489,20.624,1101.656,8.43,36.452,15.114,123.049,762.523,27.049,3.882,70.87,17.663,9.218,291.595,46.791,450.884,18.277,3484.866,79.951,10.645,314.958,3720.057,82.163,2052.434,154.541,106.29,360.538,5454.006,3913.327,124.512,1006.511,123.547,127.811,1059.933,96.5,597.327,588.871,3656.099,10.46,755.277,2023.416,3273.865,4.629,1054.173,5402.215,3596.46,8.316,4131.495,2666.909,1583.777
Sample40,330.27,28.097,7.443,6.323,1130.041,2413.522,264.048,780.175,134.936,3315.134,1281.378,3.691,2029.752,5.097,930.358,14.374,2001.917,110.688,39.033,61.185,5.459,9.81,595.695,448.432,292.58,59.154,5625.512,3126.002,377.658,344.067,599.187,72.506,13.186,694.008,148.398,29.84,157.634,2344.486,3440.741,43.918,224.997,47.679,367.176,35.409,80.369,2519.86,13.911,378.969,9.23,1588.363,731.537,20.797,1612.256,7.528,35.802,16.307,139.95,796.227,30.749,4.679,66.522,16.285,9.145,348.207,40.328,419.834,15.986,3794.959,78.198,10.085,322.609,3421.225,87.147,2628.952,193.785,117.92,363.595,5645.926,4290.114,118.024,963.31,102.138,127.017,1103.687,81.679,523.116,490.182,3653.363,9.359,885.678,2830.67,3771.102,4.818,1075.154,4384.398,3190.715,8.37,4138.811,2732.201,1498.142
Sample41,363.97,22.554,6.843,5.713,1276.96,2621.981,299.515,930.287,115.45,3415.849,1621.484,3.313,1897.663,3.412,822.876,15.299,1973.022,138.306,38.507,41.382,4.725,9.936,613.508,355.137,305.277,58.628,5435.164,3468.019,458.448,349.256,553.415,62.123,14.233,668.586,138.525,38.555,165.441,2102.044,3618.596,51.601,242.459,40.338,358.521,38.289,70.751,2773.057,13.152,399.567,6.401,1890.634,663.515,26.288,1390.31,8.596,33.223,14.75,132.094,703.882,27.218,4.117,62.55,16.394,8.824,338.118,44.05,333.591,17.912,3616.217,72.844,10.482,337.008,3753.596,78.583,2424.629,166.725,104.704,389.877,6228.575,3984.217,119.517,1094.389,117.146,126.234,1196.184,88.466,559.949,599.3,3908.683,10.218,726.739,2191.181,3743.639,6.362,1377.084,5354.054,3471.471,7.769,4763.884,3203.251,1585.504
Sample42,341.334,20.851,6.621,6.302,1086.164,2475.088,295.795,874.631,146.342,3750.366,1677.72,3.038,1721.045,2.35,828.19,16.119,2311.736,115.215,44.445,53.059,5.589,10.798,636.035,327.05,293.369,52.025,5256.012,3064.557,378.072,411.048,559.068,58.185,14.854,574.508,165.528,39.249,181.885,2163.322,3734.72,47.249,242.609,47.025,373.626,38.689,59.64,2408.964,13.875,367.727,6.648,1640.504,858.432,24.45,1264.475,7.283,39.57,13.21,132.576,795.522,27.312,4.019,77.31,17.853,8.754,354.4,41.394,428.81,13.875,2961.724,76.212,8.102,302.84,4154.426,85.798,2633.654,179.161,99.064,371.416,5763.791,3880.773,129.172,1103.752,116.381,123.505,1050.197,90.132,625.17,598.497,3771.63,10.087,723.314,2608.931,3092.982,5.654,1310.977,4794.102,3292.223,7.995,4621.68,2352.066,1280.839
Sample43,374.523,18.77,6.52,7.037,885.277,2271.468,305.591,859.307,126.917,3090.844,1521.905,2.294,1830.965,2.973,774.805,15.868,2349.025,154.582,39.429,56.037,4.61,9.109,550.364,447.969,305.661,55.01,6114.034,3336.8,377.75,325.912,477.476,71.968,12.531,668.697,155.243,37.162,144.759,2494.396,3741.503,46.818,269.968,47.877,338.291,33.195,80.392,2396.317,16.869,446.391,7.88,1913.094,735.853,24.16,1379.106,8.537,41.439,15.387,127.912,810.124,27.355,5.749,59.241,18.618,8.039,330.238,38.18,399.229,17.126,4294.059,64.115,8.789,309.015,3355.746,96.387,2603.7,172.732,96.912,389.424,5765.355,4652.58,125.686,1164.097,109.384,121.61,1166.686,100.964,443.692,614.082,3388.84,10.303,678.966,2134.394,4021.694,5.492,1259.515,5115.353,3750.652,8.452,4743.674,3047.912,1179.427
Sample44,366.557,29.542,6.809,6.006,1181.697,1980.111,273.154,856.905,142.57,3473.12,1453.926,2.403,1859.385,4.388,901.151,16.36,2219.283,136.533,34.366,54.18,5.178,9.397,647.962,416.335,269.673,46.058,5538.81,3242.275,386.663,366.717,544.472,60.099,13.052,638.946,164.123,37.869,161.066,2072.885,3576.076,39.766,225.167,41.783,353.894,36.336,65.077,2267.831,13.309,429.469,7.457,1666.135,698.056,18.754,1181.641,7.685,38.372,14.981,134.138,863.851,26.891,4.338,69.834,13.964,7.732,318.469,39.001,375.323,17.548,4060.186,60.988,9.696,375.748,3359.726,90.727,2673.451,150.416,115.655,306.377,5084.833,4193.172,125.321,889.881,128.338,150.526,1271.864,91.692,563.008,551.594,3426.468,9.101,679.652,1562.69,3685.094,4.676,1102.26,5279.443,3420.017,7.649,4335.159,2717.002,1460.504
Sample45,351.476,32.07,7.48,6.265,873.243,2006.045,264.687,863.617,157.31,3438.477,1018.718,2.774,2113.005,3.933,712.598,13.111,2138.978,118.148,41.833,59.177,4.289,11.215,610.298,454.32,239.525,48.264,5119.358,2908.881,325.268,405.18,551.905,77.229,13.776,729.312,158.768,30.816,150.021,2245.24,3634.38,47.397,227.815,43.106,338.946,41.316,61.366,2595.32,17.306,398.246,6.078,1678.341,651.819,19.261,1502.502,7.361,31.901,13.568,141.593,786.484,30.719,2.745,70.851,16.887,8.677,347.15,45.162,422.162,14.781,3498.644,64.904,10.32,287.095,3918.116,83.357,3103.148,166.23,103.962,383.568,5698.962,4001.819,115.818,992.93,96.63,120.045,1198.571,86.292,540.252,584.911,3450.801,8.891,764.048,1445.862,3935.685,4.711,1387.261,5646.339,3356.826,8.084,4590.072,2879.642,1264.796
Sample46,268.4,25.873,7.804,5.628,1144.063,2619.251,268.395,985.349,115.46,3507.86,1378.239,3.881,2044.852,3.784,846.569,16.243,2007.659,135.401,46.195,53.419,4.025,9.685,552.483,426.14,281.707,50.782,5801.595,3517.682,397.202,287.233,589.952,73.472,14.255,665.289,126.748,32.738,169.145,2491.902,3676.073,39.827,223.4,43.224,353.974,33.349,59.622,2292.111,16.621,342.797,6.698,1488.704,769.065,20.943,1374.203,7.832,38.797,14.011,132.83,921.985,28.101,4.427,49.381,16.066,8.345,338.944,40.173,460.827,16.494,3535.151,68.705,9.976,337.182,3585.372,92.762,2514.126,184.747,114.014,349.342,5745.644,4096.409,120.859,1151.379,102.18,136.034,880.671,81.943,361.504,575.205,3216.868,10.318,800.529,1852.788,3656.501,5.02,1428.499,5629.958,3485.789,8.605,4758.961,2924.812,1597.693
Sample47,369.388,21.466,7.554,6.446,874.497,2604.262,339.517,903.766,120.199,3382.878,1227.535,3.114,1956.614,4.378,817.793,13.895,2527.746,116.374,49.448,52.946,4.851,9.253,664.646,449.4,283.742,58.939,5668.785,3219.952,366.952,303.493,603.812,64.386,12.927,652.726,167.512,31.488,141.273,2001.368,3859.814,52.489,242.168,48.056,330.173,44.351,54.832,2804.076,16.897,401.575,7.812,1815.331,771.65,20.265,1566.713,7.051,37.829,15.193,130.843,848.823,32.982,4.547,67.023,17.625,8.764,299.167,35.487,349.909,16.515,3479.219,77.385,8.991,324.348,3491.472,92.068,3412.35,174.804,100.336,383.498,5944.502,3976.164,115.897,1094.732,118.951,139.546,994.066,101.568,608.386,456.632,3318.351,10.373,639.122,1900.159,3688.204,4.641,1266.291,5427.089,3561.972,7.254,4742.227,2823.075,1279.492
Sample48,350.428,28.988,7.939,6.064,1169.465,2688.067,311.902,904.928,133.97,3785.475,1410.458,3.287,1855.859,4.261,829.403,16.851,2286.646,104.756,46.818,56.531,4.97,9.653,643.455,381.791,267.874,54.038,5450.102,2924.706,395.084,319.224,555.937,78.677,14.552,624.893,151.451,39.346,151.309,2296.773,3867.381,45.323,220.57,44.948,338.639,31.026,59.854,2348.219,11.292,408.553,7.053,1614.325,594.04,22.038,1380.582,7.16,33.127,16.193,124.853,908.323,23.217,4.492,56.368,16.307,6.964,353.804,40.217,464.036,15.629,4026.08,66.719,7.982,320.59,3757.389,82.59,2700.376,159.657,97.521,318.504,6578.946,3983.041,102.957,969.595,103.839,131.724,1197.542,103.85,579.981,552.312,3586.961,9.337,829.339,2004.397,3453.338,6.017,1107.669,5159.968,3734.158,9.401,3662.789,2793.809,1621.332
Sample49,335.379,21.354,7.746,6.883,1075.459,2237.636,278.84,851.495,155.434,3251.629,1221.703,3.418,1913.324,3.971,835.565,15.734,1968.105,142.532,38.164,52.931,4.799,8.341,587.99,381.987,254.629,61.833,4514.187,3310.319,347.774,347.38,535.509,61.384,15.003,694.026,161.81,35.596,168.994,2592.382,3875.783,45.318,233.036,44.498,323.453,39.419,62.805,2335.797,16.91,380.029,8.451,1773.123,712.092,22.181,1371.667,7.249,38.934,15.784,120.934,737.516,28.047,3.476,69.886,15.602,8.606,311.972,44.295,401.776,15.159,3820.727,69.854,8.55,346.799,4101.951,55.889,2406.38,182.168,108.577,332.624,6224.613,4228.802,123.728,959.062,128.896,170.262,1252.593,94.833,567.252,601.442,4056.131,10.91,721.603,2015.965,3915.434,6.029,1318.25,5208.282,3620.005,9.329,4283.116,2747.099,1464.954
Sample50,335.513,27.282,7.591,6.753,1370.254,2567.249,326.23,975.894,124.057,3065.732,1430.98,3.503,2157.68,4.156,876.464,13.943,2346.421,108.538,39.743,37.596,5.869,8.885,599.336,358.068,271.13,63.939,5066.414,3893.771,382.374,345.253,546.051,66.902,12.197,651.719,140.339,31.521,168.385,2380.484,4089.266,42.709,257.746,41.209,308.86,36.969,62.568,2574.423,15.691,398.253,6.168,1709.897,688.698,19.068,1506.934,7.136,42.363,15.37,138.058,876.54,29.632,4.621,75.253,16.354,8.731,310.903,36.589,442.979,13.805,3456.303,74.356,10.068,384.307,3809.768,75.365,2493.099,198.663,99.139,402.229,5981.895,4358.482,114.947,1113.077,97.619,133.646,1136.601,93.669,555.081,514.85,3760.069,9.4,839.883,2429.468,3600.965,4.951,1369.631,5534.229,3734.415,10.426,4311.754,2146.686,1326.113
Sample51,356.427,27.827,6.523,5.929,1057.687,3257.174,259.694,873.386,77.039,3666.197,1166.05,3.575,1815.332,3.53,657.632,14.178,2449.313,128.703,44.614,67.487,5.53,8.82,701.911,513.248,255.952,48.535,5692.932,2728.238,392.73,353.427,451.166,74.117,10.87,634.822,161.695,36.805,151.006,2627.485,3885.667,48.709,249.404,46.993,372.942,33.713,59.437,2579.88,16.001,419.11,8.256,1767.747,745.966,22.478,1417.999,8.041,40.742,13.419,125.801,860.929,29.067,3.961,87.298,18.529,7.971,351.752,40.688,450.313,14.832,4009.801,67.366,10.006,325.26,3986.602,94.166,2228.896,162.508,100.355,368.947,5857.783,3962.071,109.908,1031.019,82.362,110.382,1020.792,97.302,572.429,602.412,3408.021,10.866,652.073,2447.126,3874.909,4.742,1319.094,4303.826,3609.757,10.062,4328.104,2836.968,1391.73
Sample52,377.072,30.157,7.684,6.134,1274.878,2599.226,278.208,951.626,128.49,3783.235,1377.978,3.042,1941.52,3.389,740.673,16.705,2222.189,145.337,41.715,55.766,4.598,9.824,589.296,415.573,266.939,55.832,5115.795,3420.375,417.274,310.669,623.474,71.183,12.157,607.493,144.307,32.928,170.748,2387.817,4142.114,47.877,264.304,50.635,381.778,41.178,60.609,2720.604,16.261,415.882,7.471,1773.098,648.306,18.491,1216.699,7.062,37.714,14.171,122.372,943.048,31.23,5.287,70.324,15.979,7.959,325.936,40.44,409.93,12.439,3749.347,70.323,8.473,303.335,3646.924,83.491,2045.44,173.074,102.776,327.75,5782.873,3608.641,112.49,1047.238,99.798,126.429,1119.664,79.913,473.568,575.495,3527.346,11.631,763.309,1972.052,3868.839,5.19,1321.249,5246.303,3405.113,8.028,4318.038,2895.57,1453.111
Sample53,325.668,28.609,6.514,6.794,1145.238,2710.813,306.507,854.411,149.535,3514.412,1374.743,2.96,1984.938,3.893,813.009,17.842,2149.953,135.219,49.902,66.496,5.082,11.242,633.421,419.913,328.647,49.464,4888.862,3631.344,353.845,358.35,572.454,68.093,15.175,692.604,176.201,37.652,152.116,2866.356,3978.169,48.121,240.27,46.56,317.568,32.393,58.283,2559.248,15.723,398.167,7.612,1804.353,748.938,23.483,1506.697,7.299,36.999,14.484,129.705,933.543,27.5,5.378,78.912,16.478,7.414,290.73,38.7,415.832,14.675,4051.051,71.591,10.348,265.239,3572.163,84.271,2700.554,187.439,113.788,364.576,5877.702,3659.993,124.234,1143.856,116.594,121.126,1254.88,87.079,568.458,541.29,3654.106,9.79,671.344,1524.425,3540.462,4.434,1160.266,5111.035,3225.51,8.393,4371.558,3103.344,1229.49
Sample54,427.245,27.041,7.198,6.725,1014.685,2664.586,290.188,951.718,109.891,3140.761,1589.58,3.28,1786.501,4.525,824.825,18.518,2320.64,174.778,38.916,58.864,5.468,9.997,632.611,443.558,277.021,61.537,5319.054,3581.567,382.244,257.039,560.537,59.36,12.003,776.786,118.423,31.109,161.82,2491.236,3880.436,47.363,283.375,47.117,368.865,26.076,56.104,2869.814,15.72,406.564,9.453,1715.656,743.628,20.333,1646.646,7.943,41.766,15.442,121.895,838.347,23.817,5.352,56.129,17.404,6.953,316.384,45.048,408.372,13.882,4258.236,76.667,8.726,344.266,3830.988,81.799,3093.826,159.654,105.976,379.687,5202.834,3926.225,111.543,1016.942,116.145,125.197,1203.352,95.793,595.252,711.54,3727.11,12.017,783.323,2272.065,4216.406,4.825,1588.575,4841.421,3394.372,10.208,4200.84,2821.975,1468.859
Sample55,441.731,29.079,7.413,6.839,1093.063,2774.135,304.315,861.922,142.487,3175.572,1564.315,2.127,1783.57,3.05,753.098,14.97,2174.989,143.546,43.818,63.564,5.201,11.048,598.237,427.622,210.591,52.876,5540.199,3994.955,370.633,315.324,454.923,65.375,14.817,778.812,159.544,37.695,157.733,2454.578,3732.552,44.654,263.631,40.758,350.133,27.344,57.473,2497.595,15.642,397.71,7.375,1894.162,622.171,22.456,1115.386,8.799,30.825,16.261,145.954,814.853,26.202,4.463,58.047,16.945,9.576,357.231,42.034,325.61,17.936,3480.004,70.904,10.077,313.895,3380.91,79.632,2089.287,189.133,96.458,402.375,5504.654,3779.328,130.766,1087.067,123.797,136.875,1131.497,94.785,532.791,623.442,3500.943,10.013,766.282,2046.295,3808.662,5.437,1206.981,5152.176,3044.123,10.19,4343.32,3050.79,1160.123
Sample56,384.469,21.409,7.668,6.098,976.093,2697.668,263.79,834.009,145.072,3380.435,1514.034,3.439,1886.592,3.725,840.564,15.596,2159.644,124.971,46.668,50.464,4.238,11.953,499.292,374.2,206.476,60.766,5479.769,3132.656,243.85,387.524,589.318,82.656,14.762,596.429,176.891,31.997,165.774,1936.643,3877.988,49.948,241.966,41.106,360.424,41.81,67.537,3030.489,14.134,401.831,7.193,1800.941,820.458,23.581,1522.89,7.411,41.269,14.304,137.973,793.6,29.013,4.713,68.064,16.597,8.489,283.711,43.58,428.165,16.291,3552.108,73.631,9.239,363.212,3712.154,85.585,2693.854,214.342,94.293,331.754,5123.683,3986.362,123.33,1055.773,134.025,139.784,1233.526,83.934,599.357,596.682,3817.295,11.643,684.738,2489.286,3573.444,5.831,1164.924,5750.768,3406.069,8.241,4267.991,2727.492,1366.978
Sample57,347.87,24.981,7.178,5.314,1095.759,2714.284,318.633,906.957,138.073,3311.905,1432.08,2.364,2063.894,3.679,790.788,15.758,2217.539,130.39,42.048,40.906,5.599,8.173,600.298,398.174,288.641,48.133,5060.16,3314.091,474.691,324.629,517.235,66.258,14.0,581.972,130.055,39.246,149.856,2326.528,3689.188,44.026,208.173,51.008,359.093,26.777,68.87,2735.282,14.718,404.248,5.9,1766.786,779.341,24.336,1548.041,6.509,42.075,13.972,136.233,792.513,26.114,4.876,76.533,15.259,9.11,344.028,44.902,369.78,15.991,3486.819,65.847,9.51,333.082,3425.238,70.849,2843.096,188.413,105.096,327.722,5818.868,4285.51,124.189,978.936,141.627,143.283,1078.472,87.321,509.95,495.055,4001.905,10.183,708.269,2182.37,3153.697,4.852,1063.779,5004.048,3247.706,7.653,4245.715,2588.348,1638.647
Sample58,350.724,18.55,7.299,7.394,1077.463,2140.529,214.952,742.485,167.583,3787.992,1486.061,3.229,1769.742,2.793,856.703,16.02,2209.852,133.923,41.896,35.64,4.369,9.577,595.952,382.577,254.023,53.758,5725.161,3047.178,396.932,370.177,599.226,77.356,13.379,684.954,145.554,35.364,152.585,2521.711,3624.108,55.562,220.797,43.58,344.117,32.967,65.635,2555.562,15.11,464.623,7.987,1751.218,696.848,22.398,1163.191,8.4,43.413,14.056,129.458,679.481,27.274,4.329,80.011,16.891,8.028,345.557,42.807,350.591,13.329,3811.716,71.262,8.878,275.744,3463.889,72.42,2899.161,196.329,94.221,344.822,5234.671,3878.189,118.626,970.171,137.634,122.984,1081.025,97.609,634.159,613.057,3293.904,10.144,651.311,2580.286,3339.111,5.141,1313.632,4987.899,3364.767,8.933,4205.708,2904.091,1430.494
Sample59,423.131,22.871,6.415,6.077,1112.524,2900.815,235.235,967.361,98.375,3185.256,1144.599,2.58,2105.596,4.389,670.744,15.239,2306.851,145.422,44.346,70.115,5.492,8.337,616.459,436.187,198.965,55.22,5574.452,3039.874,327.322,321.288,555.388,72.796,13.117,771.373,146.638,32.391,153.29,1968.219,3675.758,45.315,265.444,42.673,324.528,34.461,63.968,2644.822,15.008,422.569,7.749,1918.564,473.143,23.957,1101.485,6.693,41.752,15.582,133.111,906.896,27.841,4.125,59.157,19.616,8.314,324.291,44.949,429.349,15.496,3504.272,74.095,11.025,293.956,3520.868,75.154,2357.889,180.73,98.719,317.369,5619.207,4331.298,129.354,1173.212,88.501,133.955,1043.014,91.725,499.264,488.149,3465.619,12.346,653.89,2161.975,3960.771,5.044,1059.761,5955.142,3660.799,7.111,4917.87,2623.562,1351.958
Sample60,359.963,19.971,7.112,6.63,892.434,2429.456,260.687,843.944,165.903,3855.831,1215.156,4.208,1853.813,4.062,734.118,11.995,2383.082,124.366,38.76,52.447,5.897,9.332,572.764,382.088,242.167,51.581,5972.307,2765.367,413.544,338.738,594.326,65.248,14.015,753.023,176.524,37.472,154.77,1803.333,3845.604,43.214,225.657,40.968,305.567,45.685,65.274,2640.775,13.063,385.275,6.818,1739.537,684.787,17.686,1120.888,6.138,36.935,14.174,126.489,983.555,26.912,3.567,66.123,16.643,7.549,344.954,44.381,417.609,13.804,3575.597,71.102,10.021,357.199,3626.332,90.308,2402.288,183.785,104.394,328.573,5843.098,4351.006,127.033,1046.875,114.242,134.471,1192.402,84.938,473.295,632.031,3358.064,10.36,671.224,2506.518,3724.013,4.855,1597.007,5569.784,3345.272,10.113,4176.459,2825.859,1464.327
